2016-06-01 11:11:47,357 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Obusiness:Obusiness:0.0.1-SNAPSHOT @ C:\proyectos\obusiness\Obusiness\pom.xml.
2016-06-01 11:12:03,529 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:03,555 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2016-06-01 11:12:03,603 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-01 11:12:03,604 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2016-06-01 11:12:03,633 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:03,635 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\proyectos\obusiness\Obusiness\src\test\resources
2016-06-01 11:12:22,656 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:22,685 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2016-06-01 11:12:22,709 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-01 11:12:22,713 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2016-06-01 11:12:22,928 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:22,930 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\proyectos\obusiness\Obusiness\src\test\resources
2016-06-01 11:12:28,097 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.proyectoweb:ProyectoWeb:0.0.1-SNAPSHOT @ C:\proyectos\obusiness\ProyectoWeb\pom.xml.
2016-06-01 11:12:32,557 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:32,559 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-06-01 11:12:32,569 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:32,572 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-01 11:12:40,775 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:40,779 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-06-01 11:12:40,786 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 11:12:40,789 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
